text_lang,CONval,CONava,Quant_CTAM,COMP,spoken_lang,VALn
Multilingual,NA,NA,3,NA,1,0
Multilingual,NA,NA,4,NA,1,0
Multilingual,NA,NA,3,NA,1,0
NA,NA,NA,4,NA,1,0
Multilingual,6,5,4,0,1,5
Multilingual,4,1,4,1,1,2
Other than English,NA,NA,NA,NA,1,0
Other than English,NA,NA,NA,NA,1,0
Multilingual,7,2,5,0,1,4
NA,NA,NA,NA,NA,1,0
NA,NA,NA,NA,NA,1,0
Multilingual,4,3,5,0,1,3
Multilingual,3,1,4,0,1,4
Multilingual,6,4,5,0,1,3
Multilingual,4,3,4,0,0,3
Multilingual,1,1,1,0,NA,0
Multilingual,4,2,4,0,1,3
NA,NA,NA,NA,NA,1,0
Multilingual,4,4,5,0,0,5
Multilingual,6,5,5,0,0,4
Multilingual,5,5,5,0,0,5
Other than English,3,2,2,NA,1,0
Multilingual,3,1,5,0,1,4
Multilingual,4,5,4,0,1,3
Multilingual,1,2,3,0,1,2
English,5,0,4,NA,0,4
Multilingual,4,0,1,0,1,0
Multilingual,7,5,4,0,1,4
Multilingual,3,0,5,0,0,4
Multilingual,1,3,2,0,1,0
Multilingual,4,3,4,0,0,4
Multilingual,5,1,4,0,1,1
Multilingual,2,3,5,0,1,5
Multilingual,4,4,3,0,1,4
Multilingual,4,2,5,0,1,5
Multilingual,1,6,4,0,1,2
Other than English,3,1,4,NA,1,5
Multilingual,3,1,5,0,1,4
Multilingual,3,3,3,0,1,3
Other than English,3,5,4,NA,1,2
Multilingual,4,3,5,0,1,5
Multilingual,4,4,5,0,1,4
Other than English,0,2,2,NA,1,0
Multilingual,2,1,5,0,1,4
Multilingual,3,1,5,0,1,3
Multilingual,5,3,4,0,1,3
Multilingual,6,4,1,0,1,0
Multilingual,1,1,2,0,0,0
English,1,3,1,NA,0,0
English,3,2,3,NA,0,5
Multilingual,4,1,3,0,0,3
Multilingual,4,4,3,0,1,1
Other than English,0,0,5,NA,1,2
English,4,3,4,NA,1,1
Multilingual,6,2,4,0,1,5
Multilingual,1,1,5,0,1,5
Multilingual,1,3,4,0,1,5
English,3,4,1,NA,0,0
Multilingual,4,3,4,0,1,5
English,2,3,5,NA,0,5
Multilingual,0,3,4,0,1,2
Multilingual,7,2,5,0,1,4
English,3,1,3,NA,0,3
Multilingual,0,0,5,0,0,4
Multilingual,3,5,3,0,1,2
English,2,1,5,NA,1,4
English,1,2,2,NA,0,0
Multilingual,0,4,1,0,0,0
Multilingual,0,2,2,0,1,0
Multilingual,2,3,4,0,1,4
Multilingual,1,4,4,0,1,4
Multilingual,7,3,4,0,0,5
Multilingual,4,2,5,0,1,4
English,2,2,3,NA,0,4
Multilingual,2,3,3,0,1,4
Multilingual,0,1,1,0,0,0
English,2,2,3,NA,0,3
English,5,2,4,NA,0,2
Multilingual,4,2,4,0,0,4
Multilingual,5,3,5,0,1,4
Other than English,2,1,2,NA,1,0
Multilingual,4,5,4,0,NA,3
Other than English,2,2,1,NA,1,0
Multilingual,1,1,3,0,1,3
Multilingual,4,1,3,0,1,5
Other than English,5,3,4,NA,1,4
Other than English,1,4,3,NA,1,4
Multilingual,3,3,2,0,1,0
English,0,1,2,NA,0,0
Multilingual,0,2,1,0,0,0
Multilingual,7,5,3,0,1,1
Other than English,2,1,1,NA,1,0
Multilingual,0,0,2,0,1,0
Multilingual,1,2,4,0,1,2
Multilingual,4,0,3,0,1,4
Other than English,0,5,3,NA,1,3
Multilingual,2,5,5,0,1,3
Multilingual,1,3,5,0,1,4
English,3,2,5,NA,0,3
Multilingual,2,3,5,0,0,5
Multilingual,4,4,2,0,1,0
Other than English,2,2,2,NA,1,0
English,1,1,5,NA,0,5
